id,midi,mean_rating,roughness.jl,dual_process
1,43 53 59 62,2.54,22.1,1
2,48 59 64 67,2.08,22.17,1
3,48 62 64 67,2,24.08,1
4a,48 62 64 71,2.03,27.62,1
4b,52 60 62 71,3.59,32.81,1
5,48 59 62 67,2.38,28.6,1
6,43 53 57 59,3.38,40.39,1
7a,48 57 64 67,2.46,14.41,2
7b,45 55 60 64,2.46,19.78,2
8a,48 57 62 67,2.41,17.51,2
8b,45 55 60 62,3.16,31.94,2
9a,48 62 64 69 ,2.81,24.91,2
9b,50 60 64 69,3.22,18.87,2
10a,48 59 64 69,2.92,25.2,2
10b,45 59 60 64,3.11,39.16,2
11a,48 59 62 69,2.95,32.41,2
11b,50 59 60 69,4.54,38.63,2
12,43 53 59 64,3.35,33.32,2
13a,48 57 59 67,3.54,37.32,2
13b,45 55 59 60,3.19,49.11,2
14,43 53 59 60,3.49,41.92,2
15a,50 59 65 69,3.43,15.6,3
15b,47 57 62 65,3.14,30.63,3
16a,53 59 69 72,4.83,20.7,3
16b,47 57 60 65,4.76,38.15,3
17,53 57 64 71,4.78,27.09,3
18,53 59 64 72,4.84,28.22,3
19,50 60 65 71,4.49,28.49,3
20,50 53 64 71,4.81,36.45,3
21,45 56 60 64,5.08,25.23,4
22,48 59 64 68,4.54,26.69,4
23a,50 60 64 68,4.73,28.34,4
23b,52 62 68 72,4.73,23.29,4
24,44 53 59 62,3.65,29.08,4
25,53 57 68 72,4.78,20.56,5
26a,53 64 68 74,5.22,25.35,5
26b,52 62 65 68,4.57,29.23,5
27,50 57 65 68,4.86,26.78,5
28,47 56 65 69,5.46,29.92,5
29,53 57 64 68,4.92,29.98,5
30,45 60 68 71,4.73,30.2,5
31,50 57 60 68,4.81,31.83,5
32,53 56 64 71,5.38,31.88,5
33,53 57 63 68,4.84,28.49,6
34,53 57 63 71,4.97,28.73,6
35,51 57 62 68,5.57,36.93,6
36,53 63 64 74,5.95,57.43,6
37,43 53 63 64,6.43,61.83,6
