chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,5,7,11}",4.703,7.500,16.750,0.381085
"{0,2,5,7}",4.708,7.250,13.500,0.407407
"{0,2,5,11}",4.708,7.750,18.250,0.336640
"{0,2,6,8}",4.736,8.500,21.000,0.295503
"{0,2,4,10}",4.746,8.000,18.000,0.291270
"{0,5,7,8}",4.761,7.500,13.750,0.357870
"{0,4,5,11}",4.769,7.750,16.500,0.364881
"{0,2,4,8}",4.784,8.250,18.500,0.309788
"{0,3,4,6}",4.840,8.250,19.750,0.288029
"{0,1,3,9}",4.841,8.250,19.750,0.293585
"{0,5,6,9}",4.844,8.000,19.000,0.356548
"{0,3,6,10}",4.859,6.750,16.750,0.389418
"{0,1,3,6}",4.859,8.000,18.500,0.304696
"{0,3,7,9}",4.864,6.500,16.500,0.400529
"{0,2,4,9}",4.877,6.500,13.000,0.412963
"{0,2,9,11}",4.877,7.250,15.000,0.371296
"{0,2,4,5}",4.877,8.000,14.500,0.300463
"{0,3,4,8}",4.902,8.250,16.250,0.343056
"{0,5,8,9}",4.907,7.750,15.750,0.354167
"{0,4,6,11}",4.929,7.750,17.000,0.381085
"{0,6,7,11}",4.929,7.750,16.500,0.364881
"{0,2,3,8}",5.011,8.750,18.000,0.299140
"{0,2,7,10}",5.038,7.000,13.500,0.385185
"{0,4,9,10}",5.038,7.500,17.500,0.349140
"{0,7,9,10}",5.038,7.750,15.500,0.350463
"{0,2,3,10}",5.038,8.000,14.500,0.322685
"{0,4,5,10}",5.038,8.250,17.500,0.354696
"{0,3,4,7}",5.072,7.500,15.500,0.376389
"{0,7,8,11}",5.072,8.250,16.250,0.334722
"{0,3,6,11}",5.090,8.250,19.250,0.327381
"{0,1,5,7}",5.091,7.750,17.000,0.371362
"{0,1,7,8}",5.091,8.000,16.750,0.366270
"{0,3,8,9}",5.091,8.250,19.250,0.339881
"{0,1,5,10}",5.096,7.250,13.500,0.380093
"{0,1,6,8}",5.109,8.000,17.250,0.354696
"{0,4,6,9}",5.117,6.750,16.750,0.372751
"{0,2,6,11}",5.117,7.250,17.250,0.347751
"{0,2,6,7}",5.117,8.000,17.250,0.371362
"{0,3,8,11}",5.152,8.000,16.000,0.325000
"{0,3,6,7}",5.170,7.750,18.000,0.362103
"{0,1,5,6}",5.174,8.250,17.000,0.327381
"{0,5,6,10}",5.174,8.250,17.500,0.354696
"{0,2,3,7}",5.180,7.500,13.750,0.374537
"{0,1,4,7}",5.261,8.000,19.000,0.362103
"{0,5,8,11}",5.261,8.000,18.250,0.327381
"{0,2,7,8}",5.261,8.500,17.750,0.354696
"{0,1,3,7}",5.275,7.500,17.500,0.343585
