chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,6,8,9,11}",6.340,10.400,21.600,0.300040
"{0,2,3,4,11}",6.344,10.400,19.600,0.304444
"{0,4,9,10,11}",6.348,10.400,21.000,0.329206
"{0,1,3,6,11}",6.351,10.600,22.200,0.310040
"{0,2,3,10,11}",6.359,10.600,20.000,0.301111
"{0,3,9,10,11}",6.359,11.000,22.200,0.302540
"{0,1,2,5,10}",6.375,10.000,18.600,0.326111
"{0,2,9,10,11}",6.382,10.600,20.000,0.306667
"{0,1,2,6,8}",6.385,10.400,22.600,0.318968
"{0,1,4,8,11}",6.390,9.800,19.000,0.369722
"{0,1,8,9,11}",6.390,10.600,19.800,0.301111
"{0,2,4,5,6}",6.392,10.600,21.400,0.286429
"{0,4,5,6,8}",6.404,10.400,21.600,0.294206
"{0,6,7,10,11}",6.423,10.200,21.200,0.333651
"{0,1,2,5,6}",6.438,10.600,21.000,0.304484
"{0,3,4,5,8}",6.454,10.200,19.400,0.323889
"{0,1,3,4,5}",6.454,10.600,19.800,0.278611
"{0,1,7,9,10}",6.458,10.400,21.600,0.330873
"{0,1,3,4,11}",6.473,10.400,19.800,0.297778
"{0,1,2,4,7}",6.476,10.400,22.000,0.324206
"{0,2,7,8,9}",6.476,10.600,21.200,0.360873
"{0,3,5,6,11}",6.487,10.800,23.600,0.312579
"{0,1,6,7,10}",6.502,10.600,23.400,0.353413
"{0,6,9,10,11}",6.509,11.000,22.800,0.295873
"{0,1,2,5,9}",6.510,10.000,19.200,0.353889
"{0,1,2,9,10}",6.510,10.800,20.000,0.308611
"{0,1,2,5,8}",6.522,9.800,20.200,0.331984
"{0,1,2,8,10}",6.522,10.600,21.400,0.303095
"{0,5,9,10,11}",6.529,11.200,22.400,0.312540
"{0,1,7,8,11}",6.537,10.200,21.200,0.340317
"{0,1,2,4,8}",6.541,10.200,21.400,0.310873
"{0,5,8,10,11}",6.541,10.400,20.800,0.310040
"{0,2,3,8,9}",6.541,10.800,23.600,0.336746
"{0,7,8,9,10}",6.541,11.000,20.400,0.287500
"{0,3,5,6,7}",6.551,10.200,20.600,0.324206
"{0,2,3,4,10}",6.559,10.600,21.400,0.299762
"{0,5,7,10,11}",6.559,10.600,21.800,0.353373
"{0,1,2,4,5}",6.593,10.600,20.000,0.278611
"{0,1,4,6,7}",6.604,10.600,23.400,0.333413
"{0,6,7,8,9}",6.604,11.200,22.400,0.290040
"{0,1,3,4,10}",6.605,10.400,21.600,0.327540
"{0,3,4,5,11}",6.609,10.400,21.400,0.316984
"{0,4,5,10,11}",6.612,11.000,23.200,0.341746
"{0,5,6,7,11}",6.623,10.800,23.000,0.335079
"{0,3,5,10,11}",6.624,10.800,21.400,0.343373
"{0,2,3,5,6}",6.638,10.600,21.800,0.290873
"{0,5,6,7,10}",6.638,10.600,21.200,0.347540
"{0,1,6,9,11}",6.657,10.200,20.600,0.323373
"{0,5,6,7,8}",6.668,11.000,21.600,0.293373
"{0,4,5,6,11}",6.675,11.000,23.200,0.335079
"{0,1,4,10,11}",6.676,11.000,22.200,0.319206
"{0,1,3,10,11}",6.688,10.800,20.200,0.300000
"{0,7,9,10,11}",6.695,10.600,20.000,0.303333
"{0,1,4,5,6}",6.721,10.600,21.600,0.304484
"{0,1,6,7,8}",6.733,11.000,23.200,0.335913
"{0,1,4,6,11}",6.740,10.600,21.200,0.353373
"{0,2,5,6,7}",6.774,10.800,22.000,0.340873
"{0,5,6,10,11}",6.774,11.200,23.400,0.325079
"{0,1,5,6,7}",6.785,11.000,23.200,0.329246
"{0,2,3,4,9}",6.812,10.200,20.600,0.337540
"{0,1,2,4,11}",6.812,10.600,20.000,0.303333
"{0,1,7,10,11}",6.824,11.000,22.800,0.319206
"{0,1,6,10,11}",6.838,11.400,22.600,0.319206
"{0,1,2,5,7}",6.858,10.600,21.200,0.340873
"{0,1,2,8,9}",6.858,10.600,21.600,0.331151
"{0,1,5,10,11}",6.858,10.800,21.400,0.319206
"{0,1,6,8,11}",6.868,10.800,22.000,0.343373
"{0,8,9,10,11}",6.876,12.200,22.200,0.239167
"{0,1,6,7,11}",6.887,11.000,23.200,0.341746
"{0,1,5,6,11}",6.921,11.200,23.400,0.325079
"{0,4,5,6,7}",6.940,11.400,22.600,0.303373
"{0,3,4,5,10}",6.941,11.000,22.200,0.347540
"{0,1,2,7,11}",6.959,11.200,22.400,0.329206
"{0,1,2,6,11}",6.974,10.800,21.400,0.312540
"{0,1,2,7,10}",6.975,10.400,20.800,0.334206
"{0,1,2,7,9}",6.993,10.800,22.000,0.360873
"{0,1,2,5,11}",6.993,11.200,22.400,0.295873
"{0,1,9,10,11}",6.993,12.200,22.200,0.259167
"{0,3,4,5,6}",7.004,11.400,23.200,0.270040
"{0,1,8,10,11}",7.005,10.800,20.200,0.300000
"{0,1,2,7,8}",7.005,11.200,23.400,0.335913
"{0,1,2,6,7}",7.038,11.200,23.400,0.329246
"{0,1,2,3,7}",7.088,11.000,21.600,0.303373
"{0,1,2,3,6}",7.102,11.400,22.600,0.270040
"{0,1,2,3,5}",7.122,11.000,20.400,0.260833
"{0,1,2,9,11}",7.129,10.800,20.200,0.306667
"{0,1,2,8,11}",7.141,11.200,23.000,0.302540
"{0,1,2,3,9}",7.258,11.400,23.200,0.290040
"{0,1,2,3,8}",7.270,11.600,22.800,0.293373
"{0,2,3,4,5}",7.276,11.200,20.600,0.260833
"{0,1,2,10,11}",7.310,12.400,22.400,0.259167
"{0,1,2,3,11}",7.424,12.400,22.400,0.239167
"{0,1,2,3,10}",7.439,11.200,20.600,0.287500
"{0,1,2,3,4}",7.541,12.400,22.400,0.223333
"{0,4,5,7,9,11}",4.997,8.500,17.500,0.374841
"{0,2,4,7,9,11}",5.016,8.000,15.500,0.409259
"{0,2,4,6,8,10}",5.072,10.500,24.500,0.302857
"{0,2,4,7,8,11}",5.174,9.500,20.167,0.368915
"{0,2,5,7,9,10}",5.180,8.667,16.167,0.383148
"{0,2,4,6,7,11}",5.245,8.667,17.667,0.374841
"{0,1,3,5,7,8}",5.319,8.833,17.833,0.355397
"{0,3,5,7,8,10}",5.338,8.833,16.333,0.374259
"{0,2,5,6,9,10}",5.340,9.833,20.500,0.358360
"{0,2,5,7,9,11}",5.387,8.833,19.000,0.385767
"{0,1,5,6,8,10}",5.403,9.000,18.000,0.357619
"{0,2,4,5,9,10}",5.416,9.333,18.333,0.357619
"{0,1,3,5,8,9}",5.417,9.833,20.500,0.347249
"{0,1,3,5,8,10}",5.420,8.500,16.000,0.383148
"{0,2,4,5,7,9}",5.431,8.667,16.167,0.385370
"{0,2,4,5,7,11}",5.456,9.000,19.000,0.370397
"{0,3,4,6,8,11}",5.500,9.833,20.500,0.342249
"{0,3,4,7,8,10}",5.501,9.833,20.500,0.360582
"{0,3,4,6,8,10}",5.513,9.833,22.000,0.336164
"{0,2,4,6,8,11}",5.519,9.667,21.833,0.344497
"{0,2,4,6,9,10}",5.522,9.833,22.000,0.345053
"{0,2,6,7,9,11}",5.537,9.000,19.000,0.379286
"{0,4,5,7,9,10}",5.538,9.333,19.333,0.359841
"{0,3,5,7,9,10}",5.548,9.167,19.333,0.377434
"{0,2,3,7,8,10}",5.574,9.333,18.333,0.353175
"{0,1,4,5,7,9}",5.589,9.833,20.500,0.353915
"{0,2,3,5,7,10}",5.592,8.833,16.333,0.374259
"{0,2,4,5,9,11}",5.598,9.000,18.500,0.379286
"{0,1,3,5,7,9}",5.599,9.833,22.000,0.340608
"{0,2,3,5,9,10}",5.620,9.333,19.333,0.364286
"{0,1,3,6,8,10}",5.623,9.167,19.333,0.370767
"{0,3,4,7,8,11}",5.655,9.000,17.000,0.364444
"{0,4,6,7,9,11}",5.676,8.833,18.333,0.370397
"{0,2,5,6,8,10}",5.683,10.167,22.333,0.318386
"{0,5,6,8,9,10}",5.683,10.500,21.500,0.310397
"{0,2,4,7,8,10}",5.687,10.167,22.333,0.329497
"{0,4,5,8,9,11}",5.702,10.000,20.667,0.351323
"{0,4,7,8,10,11}",5.727,10.500,21.167,0.339471
"{0,2,5,8,9,10}",5.743,10.000,20.500,0.339841
"{0,2,4,7,10,11}",5.746,9.500,20.000,0.361508
"{0,3,6,7,9,10}",5.752,10.000,23.000,0.354868
"{0,2,3,7,9,10}",5.759,9.167,18.667,0.375397
"{0,2,5,8,9,11}",5.759,10.000,23.000,0.345423
"{0,1,3,7,8,10}",5.778,9.333,19.333,0.375397
"{0,3,4,6,7,11}",5.780,9.833,20.500,0.353545
"{0,3,5,6,9,10}",5.780,10.000,23.000,0.354868
"{0,1,5,6,9,10}",5.780,10.167,20.833,0.349656
"{0,4,6,7,8,11}",5.780,10.333,20.500,0.346138
"{0,2,3,7,8,11}",5.781,10.167,20.833,0.344656
"{0,3,4,8,10,11}",5.781,10.333,20.500,0.343915
"{0,2,5,7,8,11}",5.784,10.000,23.000,0.347646
"{0,2,6,8,9,10}",5.796,11.167,23.833,0.313386
"{0,2,4,8,10,11}",5.800,11.000,23.667,0.317275
"{0,2,4,6,7,9}",5.801,9.167,19.333,0.372989
"{0,4,5,7,8,11}",5.825,9.833,20.500,0.353545
"{0,5,7,8,9,11}",5.825,10.500,21.500,0.320952
"{0,1,3,6,9,10}",5.834,10.167,23.167,0.345979
"{0,3,6,8,10,11}",5.846,10.167,20.667,0.334841
"{0,2,7,8,10,11}",5.853,10.667,21.667,0.318730
"{0,1,3,5,6,8}",5.859,9.500,19.500,0.339841
"{0,1,4,5,7,8}",5.863,10.000,20.667,0.349656
"{0,1,5,7,8,9}",5.863,10.500,20.667,0.344471
"{0,1,4,5,9,11}",5.869,10.333,20.500,0.348360
"{0,3,5,8,9,11}",5.879,10.667,23.333,0.323201
"{0,1,3,5,9,11}",5.879,11.000,23.667,0.306164
"{0,3,4,6,7,8}",5.887,10.667,21.333,0.320026
"{0,3,5,7,9,11}",5.894,10.000,22.333,0.344497
"{0,3,6,7,8,10}",5.900,10.000,20.500,0.348730
"{0,3,6,8,9,10}",5.903,10.500,23.500,0.329683
"{0,1,6,8,9,10}",5.903,10.667,21.667,0.323730
"{0,3,4,6,10,11}",5.906,10.500,22.667,0.344868
"{0,2,6,7,8,11}",5.906,10.667,22.833,0.338201
"{0,4,6,8,10,11}",5.906,10.833,23.000,0.326164
"{0,1,4,5,8,9}",5.907,9.333,17.333,0.358333
"{0,1,5,7,8,10}",5.920,9.167,18.667,0.364286
"{0,3,5,7,8,9}",5.932,10.167,20.667,0.342063
"{0,1,4,7,9,11}",5.938,9.667,20.167,0.361508
"{0,4,7,8,9,11}",5.938,9.833,19.167,0.356296
"{0,3,4,6,9,11}",5.950,9.833,22.833,0.347646
"{0,3,4,6,7,10}",5.959,10.500,23.167,0.350423
"{0,2,3,6,8,11}",5.959,10.667,23.333,0.323201
"{0,4,6,7,8,10}",5.959,11.167,23.833,0.311164
"{0,3,4,6,9,10}",5.962,10.500,25.167,0.342487
"{0,1,4,6,9,10}",5.962,10.667,23.333,0.339312
"{0,2,5,6,8,9}",5.962,10.667,23.333,0.337090
"{0,2,3,5,8,10}",5.964,9.667,19.833,0.344101
"{0,2,4,6,9,11}",5.968,8.667,18.833,0.385767
"{0,2,4,5,7,10}",5.969,9.667,19.833,0.350767
"{0,1,5,8,9,11}",5.976,10.667,21.333,0.330582
"{0,1,3,7,8,9}",5.986,10.667,22.833,0.338757
"{0,3,4,5,7,9}",5.992,9.833,20.333,0.348730
"{0,1,4,5,7,11}",5.992,10.333,22.500,0.351534
"{0,1,5,7,9,11}",5.992,10.667,22.833,0.335053
"{0,1,3,5,6,10}",6.001,9.500,19.000,0.359841
"{0,3,7,8,10,11}",6.001,10.333,19.500,0.345185
"{0,3,4,6,7,9}",6.003,10.000,23.000,0.339312
"{0,2,3,5,7,8}",6.004,9.667,19.167,0.339841
"{0,1,5,8,9,10}",6.017,10.000,19.333,0.347963
"{0,2,3,4,6,11}",6.019,10.333,21.333,0.320952
"{0,1,3,6,8,9}",6.026,10.167,23.167,0.337090
"{0,1,3,4,8,9}",6.030,10.167,20.833,0.340767
"{0,2,3,6,7,9}",6.032,10.000,23.000,0.361534
"{0,2,6,8,10,11}",6.032,11.000,23.833,0.306164
"{0,4,6,8,9,10}",6.032,11.000,23.833,0.308942
"{0,1,3,4,7,9}",6.045,10.500,23.167,0.337090
"{0,2,3,5,7,9}",6.048,9.000,19.167,0.372989
"{0,3,6,7,8,11}",6.054,10.500,21.167,0.335767
"{0,1,2,6,9,10}",6.060,10.833,21.500,0.335582
"{0,3,4,7,10,11}",6.061,10.167,20.833,0.369101
"{0,2,3,4,8,11}",6.061,10.667,21.333,0.326138
"{0,2,7,8,9,11}",6.064,10.667,22.167,0.347619
"{0,1,5,6,8,9}",6.070,10.167,20.833,0.340767
"{0,2,3,6,7,11}",6.072,10.000,20.667,0.351323
"{0,3,6,7,9,11}",6.072,10.000,22.833,0.340979
"{0,2,4,6,7,8}",6.072,11.000,23.167,0.317831
"{0,2,3,8,10,11}",6.074,10.833,21.833,0.312063
"{0,4,5,6,9,10}",6.075,10.833,23.000,0.334312
"{0,3,5,8,9,10}",6.086,10.500,22.000,0.353175
"{0,4,5,7,8,9}",6.089,10.333,19.500,0.341296
"{0,2,4,6,10,11}",6.091,10.500,22.833,0.335053
"{0,2,4,8,9,10}",6.092,10.833,23.167,0.324497
"{0,1,3,4,5,7}",6.099,10.500,21.500,0.314841
"{0,1,3,8,9,11}",6.099,10.667,21.667,0.312063
"{0,2,6,7,9,10}",6.104,10.167,21.667,0.357619
"{0,2,4,8,9,11}",6.108,10.000,21.500,0.365952
"{0,2,3,4,7,8}",6.114,10.667,20.833,0.331138
"{0,1,3,7,9,11}",6.114,10.833,23.667,0.317275
"{0,2,5,6,9,11}",6.119,10.167,22.667,0.363201
"{0,3,5,6,8,10}",6.123,9.333,19.500,0.350767
"{0,2,3,4,6,8}",6.126,11.167,23.833,0.295608
"{0,2,5,6,8,11}",6.129,10.667,25.333,0.324153
"{0,1,2,4,6,10}",6.129,11.167,23.833,0.308942
"{0,2,4,7,9,10}",6.136,9.167,19.333,0.370767
"{0,1,4,6,8,10}",6.139,10.167,22.500,0.345053
"{0,2,3,6,8,10}",6.139,10.333,22.667,0.329497
"{0,3,5,6,8,9}",6.139,10.667,23.667,0.321534
"{0,1,3,8,9,10}",6.140,10.833,22.333,0.341508
"{0,1,4,7,8,9}",6.143,10.333,21.000,0.351878
"{0,1,3,4,5,9}",6.143,10.833,21.500,0.317804
"{0,2,4,6,7,10}",6.145,10.167,22.500,0.336164
"{0,2,4,6,8,9}",6.145,10.167,22.500,0.340608
"{0,2,3,6,9,11}",6.145,10.333,23.333,0.345423
"{0,2,4,5,8,10}",6.146,10.500,22.833,0.318386
"{0,1,3,5,8,11}",6.153,9.833,20.333,0.334841
"{0,1,3,4,7,8}",6.153,10.000,20.667,0.349656
"{0,3,5,6,7,9}",6.154,10.500,23.500,0.331905
"{0,2,3,6,9,10}",6.157,10.167,23.000,0.352646
"{0,3,4,8,9,11}",6.158,10.000,20.667,0.344656
"{0,1,3,4,9,11}",6.158,10.500,21.500,0.318730
"{0,2,4,5,8,11}",6.161,10.167,23.000,0.340979
"{0,2,3,5,9,11}",6.161,10.500,23.333,0.338016
"{0,3,5,7,8,11}",6.168,9.833,20.167,0.342249
"{0,1,3,5,7,11}",6.168,10.500,22.833,0.326164
"{0,2,3,5,8,11}",6.171,10.500,23.500,0.318757
"{0,3,4,7,9,11}",6.174,9.333,19.667,0.368915
"{0,2,3,4,7,11}",6.174,10.000,19.167,0.356296
"{0,1,3,5,9,10}",6.184,10.167,21.667,0.355397
"{0,4,6,7,10,11}",6.185,10.500,22.667,0.351534
"{0,2,3,5,7,11}",6.187,10.167,21.667,0.345952
"{0,2,3,7,10,11}",6.187,10.167,19.500,0.354074
"{0,2,4,5,6,9}",6.188,10.167,20.667,0.348730
"{0,1,2,4,9,10}",6.190,10.667,21.667,0.323730
"{0,3,6,9,10,11}",6.198,11.000,24.000,0.327090
"{0,1,4,5,7,10}",6.199,10.000,23.000,0.354868
"{0,1,3,6,7,9}",6.208,10.667,25.333,0.331376
"{0,1,3,5,7,10}",6.209,9.000,19.167,0.377434
"{0,3,6,8,9,11}",6.224,10.667,23.667,0.318757
"{0,2,3,5,6,9}",6.227,10.500,23.500,0.339312
"{0,5,6,7,9,10}",6.227,10.833,22.333,0.334841
"{0,2,5,9,10,11}",6.233,10.833,21.833,0.340952
"{0,1,3,5,6,9}",6.236,10.333,23.167,0.325979
"{0,1,2,6,8,10}",6.236,11.000,23.167,0.324497
"{0,2,3,4,6,7}",6.239,10.667,21.667,0.314841
"{0,2,3,4,8,10}",6.240,11.000,23.167,0.315608
"{0,1,2,4,6,9}",6.242,9.833,20.333,0.342063
"{0,2,6,8,9,11}",6.242,10.500,23.333,0.338016
"{0,4,6,7,9,10}",6.242,10.500,23.333,0.336349
"{0,2,4,5,6,10}",6.242,11.167,23.333,0.311164
"{0,1,4,5,9,10}",6.243,10.167,20.833,0.349656
"{0,2,5,8,10,11}",6.243,10.833,23.833,0.315794
"{0,1,3,4,6,9}",6.252,10.333,23.333,0.321534
"{0,4,5,6,8,10}",6.252,10.833,23.167,0.311164
"{0,2,6,7,8,10}",6.252,11.000,23.333,0.315608
"{0,1,4,8,9,11}",6.256,10.167,19.333,0.354074
"{0,2,5,7,10,11}",6.259,10.500,22.000,0.357063
"{0,3,4,5,7,8}",6.266,10.333,19.667,0.332407
"{0,1,5,7,8,11}",6.266,10.500,22.667,0.344868
"{0,4,5,7,8,10}",6.269,10.500,22.000,0.337619
"{0,3,4,5,9,11}",6.271,10.667,22.833,0.338201
"{0,1,2,5,6,10}",6.280,10.833,21.000,0.333360
"{0,3,7,8,9,11}",6.281,10.500,21.333,0.326138
"{0,3,4,7,9,10}",6.284,10.333,22.833,0.365979
"{0,3,6,7,10,11}",6.293,10.333,21.000,0.357989
"{0,2,5,7,8,10}",6.297,9.667,19.833,0.344101
"{0,2,3,7,9,11}",6.300,10.167,21.167,0.365952
"{0,1,4,5,8,11}",6.309,10.333,21.000,0.357989
"{0,3,4,5,8,9}",6.309,10.667,21.333,0.336323
"{0,2,6,7,10,11}",6.311,10.167,21.000,0.348360
"{0,1,4,7,9,10}",6.312,10.500,23.500,0.345979
"{0,4,5,8,9,10}",6.312,10.500,21.333,0.333360
"{0,3,4,6,8,9}",6.321,10.333,23.167,0.325979
"{0,1,3,6,9,11}",6.321,10.667,23.667,0.315794
"{0,1,4,7,8,10}",6.322,10.167,23.000,0.352646
"{0,1,3,7,9,10}",6.322,10.667,23.500,0.349683
"{0,2,5,6,7,9}",6.340,10.500,22.000,0.366508
"{0,1,2,5,9,10}",6.341,10.333,19.500,0.347963
"{0,4,7,9,10,11}",6.343,10.167,20.667,0.349841
"{0,2,3,6,7,8}",6.346,11.000,23.167,0.325423
"{0,1,2,5,8,10}",6.351,10.167,20.667,0.339841
"{0,2,3,4,7,10}",6.353,10.167,20.667,0.348730
"{0,1,3,6,7,10}",6.359,10.500,23.000,0.365979
"{0,2,3,6,10,11}",6.365,10.500,21.333,0.330582
"{0,2,3,4,6,10}",6.365,11.000,23.833,0.311164
"{0,2,4,5,6,8}",6.365,11.167,24.000,0.295608
"{0,5,6,8,9,11}",6.365,11.333,24.333,0.311534
"{0,1,4,8,9,10}",6.366,10.500,21.333,0.335582
"{0,2,3,5,8,9}",6.366,10.667,23.167,0.343757
"{0,1,2,4,8,10}",6.366,11.000,23.833,0.313386
"{0,2,7,9,10,11}",6.372,10.333,19.833,0.345926
"{0,1,4,7,8,11}",6.379,10.167,20.833,0.369101
"{0,3,4,7,8,9}",6.379,10.333,21.000,0.347434
"{0,4,6,8,9,11}",6.380,10.333,21.333,0.345952
"{0,2,6,9,10,11}",6.383,10.833,22.333,0.334286
"{0,1,3,7,8,11}",6.388,10.167,21.000,0.343915
"{0,1,3,4,7,10}",6.391,10.500,23.500,0.354868
"{0,3,7,8,9,10}",6.391,11.000,22.000,0.339286
"{0,1,2,5,6,9}",6.393,10.500,21.167,0.347434
"{0,3,4,5,7,11}",6.394,10.167,21.000,0.346138
"{0,4,5,7,10,11}",6.397,10.833,23.333,0.358201
"{0,1,3,4,6,10}",6.403,10.667,23.500,0.336349
"{0,1,2,5,6,8}",6.403,10.833,23.000,0.325423
"{0,2,3,4,6,9}",6.409,10.500,23.500,0.331905
"{0,1,2,4,5,10}",6.410,10.833,21.833,0.310397
"{0,2,4,9,10,11}",6.416,10.667,21.333,0.344656
"{0,1,3,4,5,8}",6.417,10.333,19.500,0.332407
"{0,1,4,6,8,9}",6.419,9.833,20.167,0.347249
"{0,2,3,6,7,10}",6.419,9.833,20.167,0.360582
"{0,1,2,4,6,8}",6.419,10.667,23.000,0.317831
"{0,1,4,5,8,10}",6.420,9.667,20.000,0.358360
"{0,2,4,5,8,9}",6.425,10.000,20.333,0.353915
"{0,1,3,4,6,8}",6.428,10.333,21.833,0.333175
"{0,1,3,4,8,11}",6.432,10.167,19.500,0.345185
"{0,3,5,6,9,11}",6.434,11.333,26.000,0.324153
"{0,3,4,8,9,10}",6.435,11.167,24.000,0.338757
"{0,3,5,6,8,11}",6.444,10.833,23.333,0.320979
"{0,3,6,7,8,9}",6.444,11.167,24.167,0.318757
"{0,1,6,7,9,10}",6.447,11.333,24.333,0.332090
"{0,1,3,4,7,11}",6.448,10.333,21.167,0.339471
"{0,1,4,7,10,11}",6.451,10.833,23.833,0.349312
"{0,2,3,8,9,11}",6.451,11.333,24.333,0.324868
"{0,6,7,8,10,11}",6.459,11.500,22.500,0.302619
"{0,1,5,7,9,10}",6.464,10.333,21.333,0.355397
"{0,1,3,6,10,11}",6.472,11.000,22.000,0.336508
"{0,2,5,6,7,11}",6.478,10.833,23.333,0.351534
"{0,2,5,7,8,9}",6.479,10.500,21.000,0.359841
"{0,2,3,5,10,11}",6.479,11.167,22.667,0.325397
"{0,1,3,6,8,11}",6.498,10.667,22.167,0.341508
"{0,3,4,5,7,10}",6.504,10.667,22.167,0.362063
"{0,3,8,9,10,11}",6.504,11.833,23.333,0.300397
"{0,1,2,6,8,9}",6.516,10.833,23.000,0.338757
"{0,1,4,5,6,10}",6.516,11.000,23.167,0.334312
"{0,3,7,9,10,11}",6.520,11.000,22.000,0.336508
"{0,4,6,9,10,11}",6.522,11.167,24.000,0.337460
"{0,1,2,4,5,9}",6.523,10.333,19.667,0.341296
"{0,2,8,9,10,11}",6.523,12.000,23.667,0.290767
"{0,1,4,6,7,9}",6.532,10.500,23.000,0.343757
"{0,4,5,6,8,9}",6.532,10.833,21.667,0.317804
"{0,2,3,5,6,11}",6.532,11.333,24.333,0.311534
"{0,5,7,8,9,10}",6.533,10.833,20.333,0.322037
"{0,1,3,4,9,10}",6.533,11.333,24.333,0.332090
"{0,4,5,9,10,11}",6.538,11.333,23.333,0.342090
"{0,1,3,4,8,10}",6.543,10.333,21.333,0.357619
"{0,3,4,5,8,11}",6.545,10.500,21.167,0.335767
"{0,1,7,8,9,11}",6.545,11.333,22.333,0.315952
"{0,5,6,7,9,11}",6.547,11.000,23.500,0.333016
"{0,2,4,5,7,8}",6.548,10.667,21.667,0.333175
"{0,4,7,8,9,10}",6.548,11.167,22.667,0.321508
"{0,3,5,9,10,11}",6.548,11.667,24.500,0.330794
"{0,1,3,6,7,8}",6.551,11.000,23.500,0.343201
"{0,1,3,4,6,11}",6.557,11.000,22.500,0.323175
"{0,3,5,8,10,11}",6.558,10.667,21.167,0.341508
"{0,1,2,4,7,11}",6.564,10.667,21.667,0.349841
"{0,3,4,9,10,11}",6.564,11.333,23.833,0.335423
"{0,2,3,5,6,8}",6.570,11.000,23.833,0.305238
"{0,3,5,7,10,11}",6.574,10.833,21.833,0.363730
"{0,1,2,4,7,10}",6.577,10.667,23.667,0.329683
"{0,2,7,8,9,10}",6.577,11.167,21.833,0.325212
"{0,4,5,6,9,11}",6.591,11.000,23.000,0.351534
"{0,1,2,4,7,9}",6.592,10.500,22.000,0.359841
"{0,2,3,9,10,11}",6.592,11.333,22.333,0.320397
"{0,1,4,9,10,11}",6.592,11.667,23.167,0.320397
"{0,4,5,6,8,11}",6.601,11.333,24.167,0.329312
"{0,1,3,9,10,11}",6.602,12.000,23.667,0.295212
"{0,2,5,6,10,11}",6.604,11.333,24.167,0.331534
"{0,1,3,4,6,7}",6.611,11.333,24.333,0.316534
"{0,1,3,8,10,11}",6.612,10.500,20.000,0.334815
"{0,1,3,7,10,11}",6.627,11.000,22.500,0.340952
"{0,1,4,5,6,9}",6.629,10.667,21.333,0.336323
"{0,1,2,5,8,9}",6.630,10.500,21.167,0.351878
"{0,2,3,8,9,10}",6.630,11.333,23.833,0.331349
"{0,1,2,8,9,10}",6.630,11.500,22.500,0.314286
"{0,2,3,4,10,11}",6.633,11.333,22.333,0.315952
"{0,2,4,5,10,11}",6.636,11.333,23.833,0.330794
"{0,1,4,5,6,8}",6.639,10.500,21.333,0.331138
"{0,3,5,6,7,10}",6.639,10.500,21.000,0.362063
"{0,1,4,6,9,11}",6.645,10.333,20.833,0.357063
"{0,4,5,6,7,9}",6.645,11.000,22.000,0.330397
"{0,6,7,9,10,11}",6.645,11.167,22.667,0.313730
"{0,1,2,4,8,9}",6.646,10.333,21.167,0.344471
"{0,1,2,4,5,7}",6.646,11.000,22.500,0.321508
"{0,3,4,5,9,10}",6.646,11.167,23.667,0.352090
"{0,5,8,9,10,11}",6.646,11.833,23.333,0.295952
"{0,2,4,7,8,9}",6.661,10.833,21.833,0.364286
"{0,5,7,9,10,11}",6.661,11.167,22.333,0.331323
"{0,4,8,9,10,11}",6.661,11.833,23.333,0.311508
"{0,3,5,6,7,8}",6.664,10.833,21.333,0.314841
"{0,6,7,8,9,11}",6.670,11.333,22.333,0.302619
"{0,2,3,7,8,9}",6.671,11.167,23.167,0.352090
"{0,5,7,8,10,11}",6.671,11.167,22.167,0.323175
"{0,5,6,9,10,11}",6.673,11.833,24.833,0.319868
"{0,1,3,6,7,11}",6.680,11.333,24.167,0.333757
"{0,5,6,8,10,11}",6.683,11.167,23.167,0.310794
"{0,1,4,6,7,10}",6.683,11.333,26.000,0.342487
"{0,1,5,6,7,9}",6.683,11.333,24.167,0.334312
"{0,2,3,6,8,9}",6.683,11.500,26.167,0.331376
"{0,6,7,8,9,10}",6.683,12.167,23.833,0.284656
"{0,2,4,5,6,11}",6.688,10.833,22.833,0.333016
"{0,3,4,5,6,9}",6.698,11.333,24.333,0.314312
"{0,1,2,4,5,8}",6.699,10.667,21.500,0.320026
"{0,1,2,4,9,11}",6.705,10.333,19.833,0.345926
"{0,2,3,5,6,10}",6.711,10.667,21.667,0.337619
"{0,1,3,4,5,11}",6.712,11.333,22.333,0.302619
"{0,4,5,8,10,11}",6.715,11.333,23.667,0.333757
"{0,5,6,7,8,11}",6.724,11.667,24.167,0.310979
"{0,1,6,9,10,11}",6.727,11.833,23.333,0.309286
"{0,2,3,4,7,9}",6.730,10.333,20.833,0.366508
"{0,5,6,7,8,10}",6.736,11.167,21.833,0.311878
"{0,1,5,9,10,11}",6.743,11.833,23.333,0.313730
"{0,3,5,6,10,11}",6.752,11.333,23.333,0.340423
"{0,5,6,7,8,9}",6.752,12.000,23.500,0.298730
"{0,1,5,8,10,11}",6.753,10.500,21.000,0.336508
"{0,1,7,8,9,10}",6.753,11.500,22.500,0.316508
"{0,1,3,5,6,7}",6.762,11.000,23.000,0.320238
"{0,1,6,7,9,11}",6.767,10.833,22.833,0.330794
"{0,4,6,7,8,9}",6.767,11.167,22.167,0.317063
"{0,1,4,8,10,11}",6.769,11.000,22.000,0.340952
"{0,1,5,7,10,11}",6.769,11.167,24.000,0.341905
